id,season,city ,date,team1,team2,toss_winner,toss_decision,winner,winner_by_runs,winner_by_wickets,player_of_match,venue,umpire 1,umpire 2,tv-umpire,no_result,tie,result,dl-applied
1252678,2021,Leeds,7/31/2021,Oval Invincibles,Northern Superchargers,Oval Invincibles,bat,Northern Superchargers,,6,HC Brook,"Headingley, Leeds",AG Wharf,NGB Cook,NJ Llong,0,0,normal ,0
1252679,2021,Birmingham,8/1/2021,Trent Rockets,Birmingham Phoenix,Birmingham Phoenix,field,Birmingham Phoenix,,6,WCF Smeed,"Edgbaston, Birmingham",NJ Llong,SJ O'Shaughnessy,RT Robinson,0,0,normal ,0
1252680,2021,London,8/1/2021,Southern Brave,London Spirit,London Spirit,field,Southern Brave,4,,CJ Jordan,"Lord's, London",GD Lloyd,RJ Warren,MJ Saggers,0,0,normal ,0
1252681,2021,London,8/2/2021,Welsh Fire,Oval Invincilbes,Oval Invincibles,field,Oval Invincibles,,6,SW Billings,"Kennington Oval, London",AG Wharf,NA Mallender,PK Baldwin,0,0,normal ,0
1252682,2021,London,8/3/2021,Northern Superchargers,London Spirit,Northern Superchargers,bat,Northern Superchargers,63,,DJ Willey,"Lord's, London",NJ Llong,SJ O'Shaughnessy,RT Robinson,0,0,normal ,0
1252683,2021,Birmingham,8/4/2021,Oval Invincibles,Birmingham Phoenix,Birmingham Phoenix,field,Birmingham Phoenix,,6,CG Benjamin,"Edgbaston, Birmingham",PJ Hartley,RJ Warren,NL Bainton,0,0,normal ,0
1252684,2021,Manchester,8/5/2021,Manchester Originals,Southern Brave,Southern Brave,field,,,,,"Old Trafford, Manchester",SJ O'Shaughnessy,RT Robinson,NJ Llong,1,0,noresult,0
1252685,2021,Cardiff,8/6/2021,Welsh Fire,Trent Rockets,Trent Rockets,field,Trent Rockets,,6,SR Patel,"Sophia Gardens, Cardiff",MJ Saggers,RJ Bailey,NL Bainton,0,0,normal ,0
1252686,2021,Southampton,8/7/2021,Northern Superchargers,Southern Brave,Northern Superchargers,bat,Southern Brave,,5,Q de Kock,"The Rose Bowl, Southampton",GD Lloyd,RT Robinson,PK Baldwin,0,0,normal ,0
1252687,2021,London,8/8/2021,Oval Invincibles,Trent Rockets,Trent Rockets,field,Oval Invincibles,9,,JJ Roy,"Kennington Oval, London",NGB Cook,NJ Llong,MJ Saggers,0,0,normal ,0
1252688,2021,Birmingham,8/9/2021,Birmingham Phoenix,Welsh Fire,Welsh Fire,field,Birmingham Phoenix,93,,Imran Tahir,"Edgbaston, Birmingham",SJ O'Shaughnessy,RT Robinson,PK Baldwin,0,0,normal,0
1252689,2021,Manchester,8/10/2021,London Spirit,Manchester Originals,London Spirit,bat,London Spirit,6,,BTJ Wheal,"Old Trafford, Manchester",MJ Saggers,RJ Bailey,NJ Llong,0,0,normal,0
1252690,2021,Southampton,8/11/2021,Welsh Fire,Southern Brave,Southern Brave,field,Southern Brave,,8,Q de Kock,"The Rose Bowl, Southampton",DJ Millns,RJ Warren,RT Robinson,0,0,normal,0
1252691,2021,Leeds,8/12/2021,Northern Superchargers,Manchester Originals,Manchester Originals,field,Northern Superchargers,69,,JA Simpson,"Headingley, Leeds",MJ Saggers,RJ Bailey,NL Bainton,0,0,normal,0
